nome,preco,mercado
Arroz 5kg,25.90,Supermercado Central
Feijão 1kg,8.50,Supermercado Central
Macarrão 500g,4.99,Supermercado Central
Óleo de Soja 900ml,7.49,Mercado Bom Preço
Açúcar 1kg,5.10,Mercado Bom Preço
Café 500g,12.75,Mercado Bom Preço
Leite 1L,4.80,Supermercado Central
Pão de Forma,6.25,Padaria do Bairro
Presunto 200g,6.90,Mercado Bom Preço
Queijo Mussarela 200g,9.50,Mercado Bom Preço
Manteiga 200g,8.40,Supermercado Central
Refrigerante 2L,9.99,Supermercado Central
Água Mineral 1.5L,2.50,Supermercado Central
Detergente 500ml,2.30,Loja Econômica
Sabão em Pó 1kg,11.90,Loja Econômica
Desinfetante 1L,5.60,Loja Econômica
Shampoo 350ml,14.25,Farmácia Popular
Creme Dental 90g,3.85,Farmácia Popular
Papel Higiênico (4un),10.50,Supermercado Central
Fralda Infantil (P),39.90,Farmácia Popular
